,season,event,champion,games_contests,pick_ban_ratio,banned_games,played_games,played_by_number_of_players,win,lose,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
930,10,Main,Senna,43,56.6,12.0,31,15.0,14,17,45.2,1.9,2.0,7.68,4.79,240.26,7.71,11.8,379.0,14400.0,462.0,75.2,14.9,21.4
1313,12,Main,Senna,6,7.5,3.0,3,3.0,0,3,0.0,0.33,3.0,4.0,1.44,51.33,1.62,8.2,258.0,8000.0,252.0,76.5,5.9,15.8
